--- LISTA BUDYNKÓW CITIES: SKYLINES ---
ID: 2 | Kategoria: Beautification | Nazwa: Abandoned Building 01
ID: 4 | Kategoria: Beautification | Nazwa: Boulder 01
ID: 5 | Kategoria: Beautification | Nazwa: Boulder 02
ID: 6 | Kategoria: Beautification | Nazwa: Boulder 03
ID: 7 | Kategoria: Beautification | Nazwa: Boulder 04
ID: 10 | Kategoria: Beautification | Nazwa: Rock Formation 01
ID: 11 | Kategoria: Beautification | Nazwa: Rock Formation 02
ID: 12 | Kategoria: Beautification | Nazwa: Rock Formation 03
ID: 13 | Kategoria: Beautification | Nazwa: Rock Formation 04
ID: 14 | Kategoria: Beautification | Nazwa: Abandoned Lighthouse 01
ID: 15 | Kategoria: Beautification | Nazwa: Ancient Cemetery 01
ID: 16 | Kategoria: Beautification | Nazwa: Pier Ruins 01
ID: 20 | Kategoria: Beautification | Nazwa: Castle Ruins 01
ID: 21 | Kategoria: Beautification | Nazwa: Ship Wreck 01
ID: 22 | Kategoria: Beautification | Nazwa: Castle Ruins 03
ID: 24 | Kategoria: Beautification | Nazwa: Castle Ruins 02
ID: 38 | Kategoria: Water | Nazwa: Water Intake
ID: 39 | Kategoria: Water | Nazwa: Water Outlet
ID: 40 | Kategoria: Water | Nazwa: Water Treatment Plant
ID: 41 | Kategoria: Water | Nazwa: Water Tower
ID: 115 | Kategoria: Beautification | Nazwa: Wildlife Spawn Point
ID: 122 | Kategoria: Monument | Nazwa: ChirpX Launch Control Center
ID: 261 | Kategoria: Garbage | Nazwa: Landfill Site
ID: 262 | Kategoria: Garbage | Nazwa: Combustion Plant
ID: 267 | Kategoria: Road | Nazwa: Empty Intersection
ID: 268 | Kategoria: Road | Nazwa: Cloverleaf Intersection
ID: 269 | Kategoria: Road | Nazwa: Threeway Intersection
ID: 270 | Kategoria: Road | Nazwa: RoundaboutL
ID: 271 | Kategoria: Road | Nazwa: RoundaboutS
ID: 274 | Kategoria: Road | Nazwa: Oneway Toll Booth Large 01
ID: 276 | Kategoria: Road | Nazwa: Oneway Toll Booth Medium 01
ID: 277 | Kategoria: Road | Nazwa: Twoway Toll Booth Large 01
ID: 279 | Kategoria: Road | Nazwa: Twoway Toll Booth Medium 01
ID: 285 | Kategoria: PoliceDepartment | Nazwa: Police Headquarters
ID: 286 | Kategoria: PoliceDepartment | Nazwa: Police Station
ID: 287 | Kategoria: Beautification | Nazwa: Empty Park 12x8
ID: 288 | Kategoria: Beautification | Nazwa: Eden Project
ID: 289 | Kategoria: Beautification | Nazwa: Expensive Park
ID: 290 | Kategoria: Beautification | Nazwa: Expensive Playground
ID: 291 | Kategoria: Beautification | Nazwa: Expensive Plaza
ID: 292 | Kategoria: Beautification | Nazwa: Regular Park
ID: 293 | Kategoria: Beautification | Nazwa: Regular Playground
ID: 294 | Kategoria: Beautification | Nazwa: Regular Plaza
ID: 296 | Kategoria: Beautification | Nazwa: Fishing Island
ID: 298 | Kategoria: Beautification | Nazwa: Floating Cafe
ID: 300 | Kategoria: Beautification | Nazwa: Tropical Garden
ID: 305 | Kategoria: Beautification | Nazwa: Decoration Concrete Parking Lot 01
ID: 306 | Kategoria: Beautification | Nazwa: Decoration Concrete Parking Lot 02
ID: 307 | Kategoria: Beautification | Nazwa: Decoration Concrete Parking Lot 03
ID: 308 | Kategoria: Beautification | Nazwa: Birthday Plaza 01
ID: 309 | Kategoria: Beautification | Nazwa: Future Plaza
ID: 310 | Kategoria: Beautification | Nazwa: Industry Park
ID: 311 | Kategoria: Beautification | Nazwa: Transport Park
ID: 312 | Kategoria: Beautification | Nazwa: 10thAnniversary Park
ID: 313 | Kategoria: FireDepartment | Nazwa: Fire Station
ID: 314 | Kategoria: FireDepartment | Nazwa: Fire House
ID: 315 | Kategoria: Monument | Nazwa: ExpoCenter
ID: 316 | Kategoria: Monument | Nazwa: Oppression Office
ID: 317 | Kategoria: Monument | Nazwa: Opera House
ID: 318 | Kategoria: Monument | Nazwa: Grand Mall
ID: 319 | Kategoria: Monument | Nazwa: SeaAndSky Scraper
ID: 320 | Kategoria: Monument | Nazwa: High Interest Tower
ID: 321 | Kategoria: Monument | Nazwa: Trash Mall
ID: 322 | Kategoria: Monument | Nazwa: Theater of Wonders
ID: 323 | Kategoria: Monument | Nazwa: Statue of Shopping
ID: 324 | Kategoria: Monument | Nazwa: Posh Mall
ID: 325 | Kategoria: Monument | Nazwa: SeaWorld
ID: 326 | Kategoria: Monument | Nazwa: Modern Art Museum
ID: 327 | Kategoria: Monument | Nazwa: Plaza of the Dead
ID: 328 | Kategoria: Monument | Nazwa: Observatory
ID: 329 | Kategoria: Monument | Nazwa: ScienceCenter
ID: 330 | Kategoria: Monument | Nazwa: Cathedral of Plentitude
ID: 331 | Kategoria: Monument | Nazwa: Business Park
ID: 332 | Kategoria: Monument | Nazwa: Servicing Services
ID: 333 | Kategoria: Monument | Nazwa: Transport Tower
ID: 334 | Kategoria: Monument | Nazwa: City Hall
ID: 335 | Kategoria: Monument | Nazwa: Court House
ID: 336 | Kategoria: Monument | Nazwa: Colossal Offices
ID: 337 | Kategoria: Monument | Nazwa: Fountain of LifeDeath
ID: 338 | Kategoria: Monument | Nazwa: Friendly Neighborhood
ID: 339 | Kategoria: Monument | Nazwa: Lazaret Plaza
ID: 340 | Kategoria: Monument | Nazwa: Library
ID: 341 | Kategoria: Monument | Nazwa: Official Park
ID: 342 | Kategoria: Monument | Nazwa: Stadium
ID: 343 | Kategoria: Monument | Nazwa: Statue of Industry
ID: 344 | Kategoria: Monument | Nazwa: StatueOfWealth
ID: 345 | Kategoria: Monument | Nazwa: Winter Market 01
ID: 347 | Kategoria: Monument | Nazwa: Academic Library 01
ID: 349 | Kategoria: Monument | Nazwa: Countdown Clock
ID: 352 | Kategoria: Monument | Nazwa: Plaza of Transference
ID: 356 | Kategoria: Education | Nazwa: Research Library 01
ID: 367 | Kategoria: Education | Nazwa: Elementary School
ID: 368 | Kategoria: Education | Nazwa: Hadron Collider
ID: 369 | Kategoria: Education | Nazwa: High School
ID: 370 | Kategoria: Education | Nazwa: University
ID: 371 | Kategoria: Education | Nazwa: Library 01
ID: 373 | Kategoria: Electricity | Nazwa: Nuclear Power Plant
ID: 374 | Kategoria: Electricity | Nazwa: Wind Turbine
ID: 375 | Kategoria: Electricity | Nazwa: Solar Power Plant
ID: 378 | Kategoria: Electricity | Nazwa: Advanced Wind Turbine
ID: 379 | Kategoria: Electricity | Nazwa: Coal Power Plant
ID: 380 | Kategoria: Electricity | Nazwa: Oil Power Plant
ID: 381 | Kategoria: Electricity | Nazwa: Fusion Power Plant
ID: 382 | Kategoria: PublicTransport | Nazwa: Bus Depot
ID: 383 | Kategoria: PublicTransport | Nazwa: Train Station
ID: 384 | Kategoria: PublicTransport | Nazwa: Airport
ID: 385 | Kategoria: PublicTransport | Nazwa: Harbor
ID: 386 | Kategoria: PublicTransport | Nazwa: Cargo Center
ID: 387 | Kategoria: PublicTransport | Nazwa: Cargo Harbor
ID: 388 | Kategoria: PublicTransport | Nazwa: Space Elevator
ID: 389 | Kategoria: PublicTransport | Nazwa: Metro Entrance
ID: 396 | Kategoria: PublicTransport | Nazwa: Overground Metro Station 01
ID: 397 | Kategoria: PublicTransport | Nazwa: Overground Metro Station Elevated 01
ID: 398 | Kategoria: Beautification | Nazwa: ChirpyBirthday Balloon Tours
ID: 399 | Kategoria: PublicTransport | Nazwa: Harbor02
ID: 401 | Kategoria: PublicTransport | Nazwa: Underground-Ground-Elevated Metro Hub
ID: 625 | Kategoria: Beautification | Nazwa: Abandoned Factory 01
ID: 626 | Kategoria: Beautification | Nazwa: Bunker Ruins 01
ID: 627 | Kategoria: Beautification | Nazwa: Rock Area 01
ID: 628 | Kategoria: Beautification | Nazwa: Rock Area 02
ID: 629 | Kategoria: Beautification | Nazwa: Rock Area 03
ID: 630 | Kategoria: Beautification | Nazwa: Rock Area 04
ID: 631 | Kategoria: Beautification | Nazwa: Bunker Ruins 02
ID: 632 | Kategoria: Beautification | Nazwa: Cave 01
ID: 633 | Kategoria: Beautification | Nazwa: Cave 02
ID: 634 | Kategoria: Beautification | Nazwa: Cave 03
ID: 635 | Kategoria: Beautification | Nazwa: Cliff 01
ID: 636 | Kategoria: Beautification | Nazwa: Cliff 02
ID: 637 | Kategoria: Beautification | Nazwa: Cliff 03
ID: 638 | Kategoria: Beautification | Nazwa: Cliff 04
ID: 639 | Kategoria: Beautification | Nazwa: Cliff 05
ID: 640 | Kategoria: Beautification | Nazwa: Cliff 06
ID: 641 | Kategoria: Beautification | Nazwa: Cliff 07
ID: 642 | Kategoria: Beautification | Nazwa: Cliff 08
ID: 643 | Kategoria: Beautification | Nazwa: Cliff 09
ID: 644 | Kategoria: Beautification | Nazwa: Cliff 10
ID: 645 | Kategoria: Beautification | Nazwa: Cliff 11
ID: 646 | Kategoria: Beautification | Nazwa: Cliff 12
ID: 647 | Kategoria: Beautification | Nazwa: Rock Formation 01 B
ID: 648 | Kategoria: Beautification | Nazwa: Rock Formation 01 C
ID: 649 | Kategoria: Beautification | Nazwa: Rock Formation 02 B
ID: 650 | Kategoria: Beautification | Nazwa: Rock Formation 02 C
ID: 651 | Kategoria: Beautification | Nazwa: Rock Formation 03 B
ID: 652 | Kategoria: Beautification | Nazwa: Rock Formation 03 C
ID: 653 | Kategoria: Beautification | Nazwa: Rock Formation 04 B
ID: 654 | Kategoria: Beautification | Nazwa: Rock Formation 04 C
ID: 655 | Kategoria: HealthCare | Nazwa: Medical Clinic
ID: 656 | Kategoria: HealthCare | Nazwa: Hospital
ID: 657 | Kategoria: HealthCare | Nazwa: Medical Center
ID: 658 | Kategoria: HealthCare | Nazwa: Crematory
ID: 659 | Kategoria: HealthCare | Nazwa: Cemetery
ID: 660 | Kategoria: HealthCare | Nazwa: Eldercare 01
ID: 661 | Kategoria: HealthCare | Nazwa: Child Health Center 01
ID: 662 | Kategoria: Beautification | Nazwa: ParadoxPlaza
ID: 663 | Kategoria: Beautification | Nazwa: MerryGoRound
ID: 664 | Kategoria: Beautification | Nazwa: bouncer_castle
ID: 665 | Kategoria: Beautification | Nazwa: Basketball Court
ID: 666 | Kategoria: Beautification | Nazwa: Botanical garden
ID: 667 | Kategoria: Beautification | Nazwa: dog-park-fence
ID: 668 | Kategoria: Beautification | Nazwa: JapaneseGarden
ID: 669 | Kategoria: PublicTransport | Nazwa: Large Airport
ID: 674 | Kategoria: PublicTransport | Nazwa: Taxi Stand
ID: 675 | Kategoria: PublicTransport | Nazwa: Taxi Depot
ID: 676 | Kategoria: PublicTransport | Nazwa: Cargo Hub
ID: 679 | Kategoria: Monument | Nazwa: LuxuryHotel
ID: 680 | Kategoria: PublicTransport | Nazwa: Bus Station
ID: 681 | Kategoria: Monument | Nazwa: Casino
ID: 682 | Kategoria: Monument | Nazwa: Zoo
ID: 683 | Kategoria: Monument | Nazwa: DrivingRange
ID: 692 | Kategoria: PoliceDepartment | Nazwa: Prison
ID: 695 | Kategoria: Beautification | Nazwa: 2x2_Jet_ski_rental
ID: 696 | Kategoria: Beautification | Nazwa: 2x8_FishingPier
ID: 698 | Kategoria: Beautification | Nazwa: 3x2_Fishing tours
ID: 701 | Kategoria: Beautification | Nazwa: 4x4_Marina
ID: 704 | Kategoria: Beautification | Nazwa: 9x15_RidingStable
ID: 705 | Kategoria: Monument | Nazwa: Fancy Fountain
ID: 706 | Kategoria: Beautification | Nazwa: Skatepark
ID: 714 | Kategoria: Beautification | Nazwa: Beachvolley Court
ID: 717 | Kategoria: Beautification | Nazwa: 2x4_RestaurantPier
ID: 739 | Kategoria: Monument | Nazwa: Football Stadium
ID: 740 | Kategoria: Monument | Nazwa: Panda Sanctuary
ID: 744 | Kategoria: Monument | Nazwa: Temple
